Date,Open,High,Low,Close,Volume,Change
2014-08-18,152000,153500,150000,150500,260839,0.0033333333333334103
2014-08-19,152500,154000,151500,154000,255021,0.023255813953488413
2014-08-20,154500,155000,151500,152000,256024,-0.012987012987012991
2014-08-21,152000,152500,149000,150000,212428,-0.013157894736842146
2014-08-22,151000,152000,147000,148000,342167,-0.013333333333333308
2014-08-25,146500,149000,146000,148000,161305,0.0
2014-08-26,149000,149500,146500,147000,185164,-0.006756756756756799
2014-08-27,147000,148500,146000,147000,190233,0.0
2014-08-28,147500,152500,147000,151500,322486,0.030612244897959107
2014-08-29,152000,153000,150500,151500,236930,0.0
2014-09-01,153500,155500,153000,154000,314910,0.01650165016501659
2014-09-02,154000,155000,152500,153500,172438,-0.0032467532467532756
2014-09-03,153500,154000,149500,151000,262100,-0.016286644951140072
2014-09-04,152000,152500,150000,150500,150813,-0.0033112582781457123
2014-09-05,151000,152000,149000,152000,212976,0.009966777408637828
2014-09-11,151000,152000,149000,149000,225506,-0.019736842105263164
2014-09-12,149000,150000,146000,147000,295360,-0.01342281879194629
2014-09-15,146500,147000,145000,145500,213920,-0.010204081632653073
2014-09-16,146000,147500,145000,146000,183065,0.0034364261168384758
2014-09-17,149500,151500,149000,151000,269805,0.03424657534246567
2014-09-18,151500,152500,150500,150500,197454,-0.0033112582781457123
2014-09-19,151000,152000,148000,148000,237283,-0.01661129568106312
2014-09-22,148500,149500,146000,146500,183696,-0.010135135135135087
2014-09-23,146000,148000,145500,147000,181751,0.0034129692832765013
2014-09-24,145500,146000,133500,134000,1481657,-0.08843537414965985
2014-09-25,135000,135500,130000,131500,646841,-0.018656716417910446
2014-09-26,130000,133500,129500,130000,508493,-0.011406844106463865
2014-09-29,129500,130000,123000,124000,856947,-0.0461538461538461
2014-09-30,123500,125500,122500,122500,467678,-0.012096774193548376
2014-10-01,122500,126500,122000,122500,384896,0.0
2014-10-02,122000,123500,120500,121000,349373,-0.01224489795918371
2014-10-06,122000,122500,115500,116000,649075,-0.04132231404958675
2014-10-07,117000,121000,117000,120000,387950,0.034482758620689724
2014-10-08,118000,120000,117500,119500,377497,-0.004166666666666652
2014-10-10,118500,119500,116000,117000,228143,-0.02092050209205021
2014-10-13,115000,117500,114000,115500,248533,-0.012820512820512775
2014-10-14,115000,116000,113000,114000,378536,-0.012987012987012991
2014-10-15,114500,116500,107000,108000,561419,-0.052631578947368474
2014-10-16,106500,107500,102000,103500,1089281,-0.04166666666666663
2014-10-17,105000,107500,104000,105500,467783,0.019323671497584627
2014-10-20,108500,116500,108500,115500,810021,0.09478672985782
2014-10-21,116000,117000,111000,112500,605483,-0.025974025974025983
2014-10-22,116000,117500,114000,116500,385220,0.03555555555555556
2014-10-23,116000,119500,115000,116000,439089,-0.0042918454935622075
2014-10-24,117000,118500,114500,116500,368193,0.004310344827586299
2014-10-27,117500,118000,115000,116500,294796,0.0
2014-10-28,120000,123000,117000,117500,428711,0.008583690987124415
2014-10-29,118000,124000,117500,122500,425085,0.042553191489361764
2014-10-30,122500,127500,117000,121000,646016,-0.01224489795918371
2014-10-31,122500,126500,121500,126000,437912,0.04132231404958686
2014-11-03,126000,128500,122000,122500,368619,-0.02777777777777779
2014-11-04,123000,127000,122000,124000,322413,0.012244897959183598
2014-11-05,123000,125000,118500,119000,289985,-0.040322580645161255
2014-11-06,120000,124000,119500,123500,298316,0.037815126050420256
2014-11-07,124000,128000,124000,127500,315230,0.03238866396761142
2014-11-10,128000,131000,126500,128000,353911,0.0039215686274509665
2014-11-11,129000,129500,126500,127000,190407,-0.0078125
2014-11-12,127500,129500,127000,128000,184895,0.007874015748031482
2014-11-13,128500,130000,128000,129500,172435,0.01171875
2014-11-14,130500,131000,127000,129000,262531,-0.0038610038610038533
2014-11-17,128500,128500,126000,128500,213336,-0.003875968992248069
2014-11-18,128500,129500,126000,127000,216731,-0.011673151750972721
2014-11-19,127500,129000,124500,126000,245275,-0.007874015748031482
2014-11-20,125500,130000,125500,130000,298197,0.031746031746031855
2014-11-21,130500,132000,129500,131000,178757,0.007692307692307665
2014-11-24,132500,134500,132000,132500,224885,0.011450381679389388
2014-11-25,133000,133000,129500,130000,329476,-0.018867924528301883
2014-11-26,131000,136000,131000,135000,363903,0.03846153846153855
2014-11-27,138000,141000,135000,135000,738275,0.0
2014-11-28,134500,135500,132500,134000,145403,-0.007407407407407418
2014-12-01,132500,133000,126000,126000,422926,-0.05970149253731338
2014-12-02,126000,129500,125500,128000,234210,0.015873015873015817
2014-12-03,127500,128500,126500,128000,185551,0.0
2014-12-04,127500,130000,125000,126500,227627,-0.01171875
2014-12-05,127000,127500,126000,126500,131061,0.0
2014-12-08,127500,129000,126500,128000,134971,0.011857707509881354
2014-12-09,126500,127500,123000,123500,297069,-0.03515625
2014-12-10,122500,123500,120000,121500,218032,-0.01619433198380571
2014-12-11,119000,124500,118500,120500,253727,-0.008230452674897082
2014-12-12,122000,127500,122000,125500,265128,0.04149377593361003
2014-12-15,124000,127500,123000,125500,141825,0.0
2014-12-16,125000,126500,124000,124500,102605,-0.007968127490039834
2014-12-17,124500,125500,118500,123000,202569,-0.012048192771084376
2014-12-18,125000,125000,119000,120500,218306,-0.020325203252032575
2014-12-19,122000,122000,118500,118500,244261,-0.016597510373444035
2014-12-22,118500,121500,118000,121000,213247,0.021097046413502074
2014-12-23,121000,121000,119500,120000,159760,-0.008264462809917328
2014-12-24,120000,122000,119500,121500,183116,0.012499999999999956
2014-12-26,121000,123500,121000,121000,142749,-0.004115226337448541
2014-12-29,121000,121000,119000,119500,102586,-0.012396694214875992
2014-12-30,120000,120500,116000,116000,223266,-0.029288702928870314
2015-01-02,115500,118500,115500,117000,129817,0.008620689655172376
2015-01-05,116500,117500,114500,115000,218029,-0.017094017094017144
2015-01-06,112000,113000,110000,111000,283326,-0.034782608695652195
2015-01-07,109500,112000,109000,110500,170777,-0.0045045045045044585
2015-01-08,111500,115000,111000,114000,192137,0.03167420814479649
2015-01-09,116500,117000,115000,115500,217970,0.013157894736842035
2015-01-12,114500,117500,114000,116000,110167,0.0043290043290042934
2015-01-13,115000,115500,113000,113500,277240,-0.02155172413793105
2015-01-14,113500,116000,112000,112000,195093,-0.013215859030836996
2015-01-15,113500,114000,112000,113500,133210,0.013392857142857206
2015-01-16,113000,113000,109000,109500,290994,-0.03524229074889873
2015-01-19,110500,112000,109500,110500,172393,0.009132420091324311
2015-01-20,111000,114000,110500,111500,222284,0.009049773755656076
2015-01-21,112500,114500,111000,114500,211357,0.026905829596412634
2015-01-22,116000,117000,114000,116000,245919,0.013100436681222627
2015-01-23,118500,125000,118000,125000,625114,0.07758620689655182
2015-01-26,127500,129000,123500,126500,543185,0.01200000000000001
2015-01-27,125000,128000,124000,127500,393394,0.007905138339920903
2015-01-28,126000,129500,126000,128500,228877,0.007843137254901933
2015-01-29,127500,128500,126000,126000,202421,-0.01945525291828798
2015-01-30,128500,131000,126500,129000,331214,0.023809523809523725
2015-02-02,129000,131500,128500,130500,195016,0.011627906976744207
2015-02-03,131500,132000,129000,130000,168274,-0.003831417624521105
2015-02-04,131500,134000,130500,132500,287294,0.019230769230769162
2015-02-05,132000,132500,128500,128500,253994,-0.030188679245283012
2015-02-06,128500,133000,127000,133000,227527,0.035019455252918386
2015-02-09,133500,136000,132000,134000,281313,0.007518796992481258
2015-02-10,133500,135500,132500,132500,188862,-0.011194029850746245
2015-02-11,134000,135500,133000,134000,163823,0.01132075471698113
2015-02-12,133000,133500,131000,133000,166934,-0.007462686567164201
2015-02-13,133500,134000,130000,132000,163557,-0.007518796992481258
2015-02-16,131000,133000,129000,129500,232246,-0.018939393939393923
2015-02-17,130000,132000,129500,130000,147995,0.0038610038610038533
2015-02-23,131500,132500,128500,129000,175404,-0.007692307692307665
2015-02-24,133000,136000,132000,133500,440978,0.03488372093023262
2015-02-25,134500,135500,132500,133000,220894,-0.0037453183520599342
2015-02-26,134000,138500,132500,137500,344781,0.03383458646616533
2015-02-27,137500,138500,136500,136500,223347,-0.0072727272727273196
2015-03-02,138000,140500,137500,139000,425888,0.01831501831501825
2015-03-03,140500,141000,138500,138500,229983,-0.003597122302158251
2015-03-04,138000,140000,136500,136500,201941,-0.014440433212996373
2015-03-05,136000,139500,135500,138500,160380,0.0146520146520146
2015-03-06,138000,140500,138000,140000,201152,0.010830324909747224
2015-03-09,139000,141000,137500,137500,194334,-0.017857142857142905
2015-03-10,137500,137500,128500,130500,596885,-0.050909090909090904
2015-03-11,128000,133500,128000,132000,307156,0.011494252873563315
2015-03-12,132000,134500,132000,132500,276974,0.0037878787878788955
2015-03-13,133500,134500,131500,132500,142304,0.0
2015-03-16,133500,135500,132000,132000,197362,-0.0037735849056603765
2015-03-17,133000,138500,133000,137500,347385,0.04166666666666674
2015-03-18,138000,140000,136500,137500,268913,0.0
2015-03-19,141000,141000,137000,137000,233884,-0.0036363636363636598
2015-03-20,140000,143000,140000,142500,502430,0.04014598540145986
2015-03-23,143500,145500,142000,145000,342500,0.01754385964912286
2015-03-24,145000,146000,142500,143000,227224,-0.01379310344827589
2015-03-25,143000,145000,139500,140500,240031,-0.0174825174825175
2015-03-26,140000,144000,139500,141500,298421,0.007117437722419906
2015-03-27,142000,142500,138500,139500,252908,-0.014134275618374548
2015-03-30,140500,144000,140000,143500,225316,0.028673835125448077
2015-03-31,143500,143500,135000,136500,579552,-0.04878048780487809
2015-04-01,135000,135500,131000,133000,473833,-0.02564102564102566
2015-04-02,134500,135500,133500,134000,205165,0.007518796992481258
2015-04-03,134000,135500,133000,135500,116707,0.011194029850746245
2015-04-06,134500,135000,132000,132000,168670,-0.02583025830258301
2015-04-07,133500,135000,132000,132500,222712,0.0037878787878788955
2015-04-08,133500,134500,132000,132500,200117,0.0
2015-04-09,133000,137000,132500,136500,255442,0.030188679245283012
2015-04-10,136500,137500,133500,134500,309316,-0.0146520146520146
2015-04-13,135000,135500,133000,134500,258462,0.0
2015-04-14,134500,141500,134000,141000,492058,0.048327137546468446
2015-04-15,141500,142000,138500,141000,321247,0.0
2015-04-16,141500,142500,137000,139000,304314,-0.014184397163120588
2015-04-17,139000,139000,137000,137000,210736,-0.014388489208633115
2015-04-20,135500,137500,134500,135000,255781,-0.014598540145985384
2015-04-21,136000,137000,132000,132500,354425,-0.01851851851851849
2015-04-22,133500,135000,131000,132500,312256,0.0
2015-04-23,133500,134000,131500,133500,296189,0.007547169811320753
2015-04-24,133000,133500,130500,130500,331412,-0.022471910112359605
2015-04-27,130500,133000,129000,129500,335664,-0.007662835249042099
2015-04-28,129500,130500,123500,126000,548028,-0.027027027027026973
2015-04-29,122500,123000,116500,118000,1147808,-0.06349206349206349
2015-04-30,118000,121500,117000,120000,396864,0.016949152542372836
2015-05-04,120000,120500,117000,117000,278948,-0.025000000000000022
2015-05-06,115000,118500,114500,117000,290819,0.0
2015-05-07,116000,118000,116000,117500,208579,0.004273504273504258
2015-05-08,119500,120000,118000,118500,203313,0.008510638297872353
2015-05-11,119500,119500,116500,116500,197870,-0.016877637130801704
2015-05-12,116500,117500,115500,116000,183352,-0.0042918454935622075
2015-05-13,118500,120500,117500,119500,313721,0.030172413793103425
2015-05-14,118500,122500,118500,121500,315208,0.01673640167364021
2015-05-15,122500,123500,120000,121500,274876,0.0
2015-05-18,122000,123500,121500,123000,232330,0.012345679012345734
2015-05-19,124000,124500,122500,123500,211731,0.004065040650406582
2015-05-20,123500,124000,121000,121500,212594,-0.01619433198380571
2015-05-21,121500,122500,118500,118500,196532,-0.024691358024691357
2015-05-22,118500,122000,118500,122000,215448,0.029535864978903037
2015-05-26,124000,128000,122500,126000,486755,0.032786885245901676
2015-05-27,125500,127000,123500,125500,411522,-0.003968253968253954
2015-05-28,126500,128000,124500,125000,364464,-0.003984063745019917
2015-05-29,124500,126000,122500,122500,258838,-0.020000000000000018
2015-06-01,123000,125500,121000,124000,226382,0.012244897959183598
2015-06-02,123500,125500,122000,122000,157684,-0.016129032258064502
2015-06-03,122500,124500,122000,123000,173539,0.008196721311475308
2015-06-04,125000,125000,118500,119500,266764,-0.028455284552845517
2015-06-05,118000,119000,115000,116000,451811,-0.029288702928870314
2015-06-08,116000,117000,113500,113500,293157,-0.02155172413793105
2015-06-09,114000,115500,111500,112500,285594,-0.008810572687224627
2015-06-10,113000,114500,112500,113000,202859,0.004444444444444473
2015-06-11,113500,114500,112000,113500,348355,0.004424778761061843
2015-06-12,113500,117500,113000,113500,267911,0.0
2015-06-15,113000,114500,112000,113000,173039,-0.004405286343612369
2015-06-16,112500,116000,112000,115000,354361,0.017699115044247815
2015-06-17,116000,124000,116000,123000,636942,0.06956521739130439
2015-06-18,125000,126500,121500,122500,335507,-0.004065040650406471
2015-06-19,123000,124500,119000,119500,249893,-0.024489795918367308
2015-06-22,119000,119000,116000,117000,186803,-0.02092050209205021
2015-06-23,118500,119500,116500,119000,242150,0.017094017094017033
2015-06-24,119000,120500,118000,119500,149323,0.004201680672268893
2015-06-25,119500,119500,116500,116500,198493,-0.025104602510460206
2015-06-26,116500,117000,115000,116000,174603,-0.0042918454935622075
2015-06-29,115000,115000,112000,113500,183490,-0.02155172413793105
2015-06-30,111500,113000,109000,111000,379888,-0.022026431718061623
2015-07-01,112000,113500,111000,112500,195277,0.013513513513513598
2015-07-02,114000,114000,111500,113000,217090,0.004444444444444473
2015-07-03,112500,112500,110000,112500,277264,-0.004424778761061954
2015-07-06,114500,118000,111500,111500,384321,-0.008888888888888835
2015-07-07,113000,113500,110500,112000,200396,0.004484304932735439
2015-07-08,112000,112500,109000,109000,247011,-0.0267857142857143
2015-07-09,106500,108000,105000,108000,261190,-0.00917431192660545
2015-07-10,108500,110000,107000,108500,194390,0.004629629629629539
2015-07-13,108500,110500,108500,110000,114016,0.01382488479262678
2015-07-14,111500,112000,108500,109500,142893,-0.004545454545454519
2015-07-15,109500,110500,108000,109000,210808,-0.004566210045662156
2015-07-16,110500,113500,110000,111500,270950,0.022935779816513735
2015-07-17,112500,112500,108000,108500,291829,-0.026905829596412523
2015-07-20,109000,110000,106000,106500,249387,-0.018433179723502335
2015-07-21,106500,109000,106000,106500,347909,0.0
2015-07-22,106500,107000,99900,100000,1295763,-0.06103286384976525
2015-07-23,100500,100500,99200,99600,295261,-0.0040000000000000036
2015-07-24,98700,99100,96000,96000,521828,-0.03614457831325302
2015-07-27,92500,97600,92500,95900,361584,-0.0010416666666667185
2015-07-28,94800,97500,94600,95000,291681,-0.009384775808133461
2015-07-29,95200,97200,95200,95200,233438,0.002105263157894832
2015-07-30,94900,96500,94500,94600,191964,-0.006302521008403339
2015-07-31,88200,90300,85700,85800,1113034,-0.09302325581395354
2015-08-03,85600,86300,82100,82400,1401999,-0.03962703962703962
2015-08-04,81700,84500,81700,83100,476830,0.008495145631068013
2015-08-05,83200,85100,83200,83900,263643,0.00962695547533099
2015-08-06,84500,84900,83100,83400,203618,-0.005959475566150174
2015-08-07,83300,84300,82600,82900,208690,-0.005995203836930418
2015-08-10,82800,82800,80400,80900,275187,-0.024125452352231624
2015-08-11,81000,84500,81000,82100,355723,0.014833127317676054
2015-08-12,81100,82000,80200,80700,387322,-0.01705237515225333
2015-08-13,81200,85000,81100,84100,348146,0.04213135068153662
2015-08-17,85500,86200,82200,82400,258515,-0.02021403091557672
2015-08-18,82000,83700,82000,83300,233675,0.010922330097087318
2015-08-19,83300,83500,80500,81400,298367,-0.02280912364945975
2015-08-20,81200,82300,80200,80300,204809,-0.013513513513513487
2015-08-21,78200,79200,77500,77600,385462,-0.03362391033623913
2015-08-24,76400,78400,75600,76800,293566,-0.010309278350515427
2015-08-25,77100,78600,76600,77100,374096,0.00390625
2015-08-26,77500,81500,77100,81500,376609,0.05706874189364464
2015-08-27,82300,82300,80000,80300,348562,-0.014723926380368124
2015-08-28,81500,84000,80800,83500,424958,0.03985056039850554
2015-08-31,83800,86900,83000,84500,433758,0.011976047904191711
2015-09-01,84900,85800,82900,83700,304929,-0.009467455621301801
2015-09-02,82500,84500,82200,83700,317617,0.0
2015-09-03,84500,85200,83200,83800,401169,0.0011947431302270495
2015-09-04,84200,86700,83800,85000,547590,0.014319809069212486
2015-09-07,87000,88300,86500,87600,477392,0.030588235294117583
2015-09-08,87500,89400,87200,88100,458418,0.005707762557077611
2015-09-09,89300,89500,87400,88900,433070,0.009080590238365494
2015-09-10,88500,88500,86800,88200,387591,-0.007874015748031482
2015-09-11,87400,88800,87300,87600,277985,-0.006802721088435382
2015-09-14,88100,88200,85800,86400,218157,-0.013698630136986356
2015-09-15,86300,88200,86100,88000,236805,0.0185185185185186
2015-09-16,88700,90200,88400,89900,704822,0.021590909090908994
2015-09-17,91700,100500,90500,97000,1876430,0.07897664071190214
2015-09-18,97500,99800,95400,98600,1151992,0.016494845360824684
2015-09-21,97500,98700,96700,96700,291889,-0.01926977687626774
2015-09-22,97200,100000,96900,99000,505706,0.02378490175801451
2015-09-23,98600,105500,98600,102000,1453065,0.030303030303030276
2015-09-24,104000,107000,103000,104000,830955,0.019607843137254832
2015-09-25,106000,107000,101500,105000,553116,0.009615384615384581
2015-09-30,104000,108500,103000,108500,787407,0.03333333333333344
2015-10-01,108000,110000,107000,108500,413594,0.0
2015-10-02,108500,109000,104500,105500,512899,-0.027649769585253448
2015-10-05,107000,107500,105000,105500,295773,0.0
2015-10-06,107000,111000,107000,109000,639701,0.033175355450236976
2015-10-07,109500,110500,107000,108000,360880,-0.00917431192660545
2015-10-08,109500,111000,108500,110000,370468,0.0185185185185186
2015-10-12,111500,113000,110500,111500,298243,0.013636363636363669
2015-10-13,112000,112000,109000,111000,313860,-0.004484304932735439
2015-10-14,112500,112500,105000,106000,585280,-0.04504504504504503
2015-10-15,106000,110500,105500,109500,381581,0.03301886792452824
2015-10-16,111000,111000,106500,106500,241777,-0.0273972602739726
2015-10-19,107000,115000,106500,114000,645802,0.07042253521126751
2015-10-20,115000,119000,115000,118500,672139,0.03947368421052633
2015-10-21,118000,120000,117000,119000,454704,0.00421940928270037
2015-10-22,117000,117500,112000,114000,696028,-0.04201680672268904
2015-10-23,115500,117000,113000,114000,519291,0.0
2015-10-26,115000,117500,114500,117000,320534,0.026315789473684292
2015-10-27,117000,117000,113000,116000,312429,-0.008547008547008517
2015-10-28,114500,116000,108000,111500,842596,-0.03879310344827591
2015-10-29,111000,113500,110000,111000,385363,-0.004484304932735439
2015-10-30,115000,116500,104000,106500,1831331,-0.04054054054054057
2015-11-02,108000,112500,107000,111000,739889,0.04225352112676051
2015-11-03,112000,112500,109000,110000,423298,-0.009009009009009028
2015-11-04,111000,113000,110000,112000,337733,0.018181818181818077
2015-11-05,111500,114000,110000,111000,418050,-0.008928571428571397
2015-11-06,110500,111500,108500,111500,294515,0.0045045045045044585
2015-11-09,111000,112500,110000,110000,252780,-0.013452914798206317
2015-11-10,109000,111000,106500,110000,377523,0.0
2015-11-11,110000,110500,105500,107000,278083,-0.027272727272727226
2015-11-12,106000,109000,106000,107000,168406,0.0
2015-11-13,107000,111000,106500,110000,309493,0.028037383177569986
2015-11-16,108000,110000,105000,106500,283692,-0.03181818181818186
2015-11-17,108500,115000,107000,114500,593393,0.07511737089201875
2015-11-18,114500,117000,113500,114500,383991,0.0
2015-11-19,117000,121500,116500,120500,855216,0.05240174672489073
2015-11-20,121000,124500,120500,124500,630494,0.03319502074688807
2015-11-23,126000,127500,123000,127000,536673,0.02008032128514059
2015-11-24,126500,127500,125000,127000,463408,0.0
2015-11-25,126500,127000,122000,122000,463549,-0.03937007874015752
2015-11-26,121500,124500,120000,123000,410329,0.008196721311475308
2015-11-27,122500,124000,122000,124000,180210,0.008130081300812941
2015-11-30,122500,123500,120000,120000,364644,-0.032258064516129004
2015-12-01,120500,126000,120000,126000,397852,0.050000000000000044
2015-12-02,126000,126000,119500,119500,463085,-0.051587301587301626
2015-12-03,114000,120500,112500,120000,762002,0.004184100418409997
2015-12-04,118000,119500,117500,118000,194200,-0.01666666666666672
2015-12-07,119500,121000,116500,118500,280731,0.004237288135593209
2015-12-08,121500,123500,118500,120000,475790,0.012658227848101333
2015-12-09,120500,125500,120000,124500,609496,0.03750000000000009
2015-12-10,126000,129000,124500,125500,629394,0.008032128514056325
2015-12-11,127000,129500,126000,128500,540468,0.0239043824701195
2015-12-14,129000,130000,126500,128000,536697,-0.0038910505836575737
2015-12-15,129500,129500,124500,128000,329713,0.0
2015-12-16,129500,131000,128000,129000,347719,0.0078125
2015-12-17,130500,131000,126500,127500,469669,-0.011627906976744207
2015-12-18,123000,123500,117500,118000,1241597,-0.07450980392156858
2015-12-21,116500,120500,116500,120000,504431,0.016949152542372836
2015-12-22,120500,121000,118500,119500,243259,-0.004166666666666652
2015-12-23,119500,120500,116500,117000,321525,-0.02092050209205021
2015-12-24,117500,118500,114000,114500,368783,-0.021367521367521403
2015-12-28,114500,114500,110000,111000,444749,-0.03056768558951961
2015-12-29,111000,114500,111000,114000,207505,0.027027027027026973
2015-12-30,114500,115000,112000,114000,240998,0.0
2016-01-04,115500,118000,112500,112500,386573,-0.013157894736842146
2016-01-05,112000,116000,111500,115000,254419,0.022222222222222143
2016-01-06,116500,117000,113500,114500,242253,-0.004347826086956497
2016-01-07,114000,114500,111000,111000,269779,-0.03056768558951961
2016-01-08,107500,113000,107000,113000,281532,0.018018018018018056
2016-01-11,111500,113000,111000,111500,145758,-0.013274336283185861
2016-01-12,112500,114000,108500,109000,263906,-0.022421524663677084
2016-01-13,110500,111000,109000,109500,285513,0.004587155963302836
2016-01-14,108000,110500,106500,109500,307122,0.0
2016-01-15,112500,113000,108500,109500,233116,0.0
2016-01-18,108500,109000,107000,107500,195551,-0.0182648401826484
2016-01-19,107000,107000,99600,99900,840232,-0.07069767441860464
2016-01-20,100000,102000,99000,100500,401765,0.006006006006006093
2016-01-21,101000,101500,99700,100500,215519,0.0
2016-01-22,101000,104000,101000,102000,336492,0.014925373134328401
2016-01-25,104500,104500,101500,102500,332839,0.004901960784313708
2016-01-26,99300,99500,87300,87400,2657705,-0.14731707317073173
2016-01-27,88100,90500,88100,89100,1219211,0.0194508009153318
2016-01-28,89100,90500,88500,90300,533381,0.013468013468013407
2016-01-29,90700,93700,90600,93500,589387,0.03543743078626793
2016-02-01,92000,93500,90600,93500,619951,0.0
2016-02-02,93100,93500,92400,92800,306447,-0.007486631016042744
2016-02-03,92700,92800,90100,92000,327588,-0.008620689655172376
2016-02-04,93200,96200,92400,95900,519174,0.04239130434782612
2016-02-05,96000,96800,95100,95500,217059,-0.004171011470281538
2016-02-11,93000,93300,92000,92500,351551,-0.03141361256544506
2016-02-12,92300,93300,90900,92200,281737,-0.00324324324324321
2016-02-15,93000,93300,92400,93300,356968,0.01193058568329719
2016-02-16,93400,96000,93400,95500,294218,0.023579849946409492
2016-02-17,95800,99600,95700,98200,600087,0.02827225130890043
2016-02-18,100000,101500,97900,99300,333812,0.011201629327902252
2016-02-19,98600,99000,97400,98500,171538,-0.00805639476334341
2016-02-22,98000,99800,97400,99300,109220,0.008121827411167404
2016-02-23,100500,101000,96600,96700,237811,-0.02618328298086603
2016-02-24,96800,99700,96700,99000,233257,0.02378490175801451
2016-02-25,99200,100000,96700,97500,214253,-0.015151515151515138
2016-02-26,98300,99500,97700,99000,242413,0.01538461538461533
2016-02-29,99600,100500,98400,99900,252867,0.009090909090909038
2016-03-02,101000,101500,99700,101000,211249,0.011011011011011096
2016-03-03,101500,102000,98600,99400,300439,-0.015841584158415856
2016-03-04,99100,99200,96900,97400,345301,-0.02012072434607648
2016-03-07,97900,100500,97900,99600,337781,0.022587268993839782
2016-03-08,100500,101000,99200,99800,196305,0.002008032128514081
2016-03-09,99300,101000,98200,99900,138932,0.0010020040080160886
2016-03-10,100500,101000,99100,101000,227706,0.011011011011011096
2016-03-11,101500,102000,100000,100000,230801,-0.00990099009900991
2016-03-14,101000,102500,98300,98800,337511,-0.01200000000000001
2016-03-15,99400,99900,97000,98200,180365,-0.006072874493927127
2016-03-16,98000,99100,98000,98300,79610,0.0010183299389001643
2016-03-17,99300,101000,98700,99500,284336,0.012207527975584886
2016-03-18,100000,100500,98100,99900,228622,0.004020100502512669
2016-03-21,102500,105000,102000,103500,530558,0.03603603603603611
2016-03-22,104000,105500,103000,105500,303471,0.019323671497584627
2016-03-23,105500,105500,103000,103000,197944,-0.023696682464455
2016-03-24,103500,105000,101000,102000,219755,-0.009708737864077666
2016-03-25,101500,102000,100000,100500,187933,-0.014705882352941124
2016-03-28,100500,101500,100000,100000,122682,-0.00497512437810943
2016-03-29,100000,100500,99500,100500,208768,0.004999999999999893
2016-03-30,100500,101500,99300,99400,250082,-0.010945273631840835
2016-03-31,99700,100500,98600,99000,239792,-0.004024144869215318
2016-04-01,100000,100000,97600,97700,236286,-0.013131313131313105
2016-04-04,98000,99700,97700,99300,161004,0.016376663254861867
2016-04-05,99700,99700,97600,97600,240809,-0.017119838872104776
2016-04-06,97500,97600,95000,95200,301009,-0.024590163934426257
2016-04-07,95600,98600,95600,97600,283581,0.025210084033613356
2016-04-08,97400,99900,97100,99700,277072,0.021516393442623016
2016-04-11,99400,102500,99400,101500,256567,0.01805416248746239
2016-04-12,102000,102500,100000,101500,184030,0.0
2016-04-14,103000,105000,103000,104000,325488,0.024630541871921263
2016-04-15,105000,109500,104500,106500,524872,0.024038461538461453
2016-04-18,106500,108500,105000,107500,291928,0.009389671361502261
2016-04-19,107500,108500,105500,106500,247385,-0.009302325581395321
2016-04-20,106500,108500,106000,107000,205800,0.0046948356807512415
2016-04-21,108000,109000,106500,107000,273786,0.0
2016-04-22,106500,111000,106000,111000,466051,0.03738317757009346
2016-04-25,112500,118000,112000,118000,741118,0.06306306306306309
2016-04-26,117500,118000,113500,115000,442383,-0.025423728813559365
2016-04-27,114500,117000,113500,116500,199327,0.01304347826086949
2016-04-28,115000,117000,113500,116000,368213,-0.0042918454935622075
2016-04-29,110000,116000,109000,114000,904752,-0.017241379310344862
2016-05-02,113500,114500,112500,114500,325740,0.004385964912280604
2016-05-03,116000,116000,113000,114500,244962,0.0
2016-05-04,114500,116000,113500,115500,470121,0.008733624454148492
2016-05-09,115000,117500,113500,116500,454794,0.008658008658008587
2016-05-10,116500,117000,114000,115000,385075,-0.012875536480686733
2016-05-11,115000,115000,111000,111500,328038,-0.0304347826086957
2016-05-12,112000,112500,110000,111000,211975,-0.004484304932735439
2016-05-13,110000,110500,105500,107000,417784,-0.036036036036036
2016-05-16,106000,108000,106000,107500,109751,0.004672897196261738
2016-05-17,108000,111500,107500,110000,195281,0.023255813953488413
2016-05-18,108500,108500,105500,108000,339696,-0.018181818181818188
2016-05-19,107500,108500,105500,106500,123245,-0.01388888888888884
2016-05-20,105500,108000,105500,107000,125268,0.0046948356807512415
2016-05-23,108000,108500,107000,107500,92515,0.004672897196261738
2016-05-24,107500,109500,107000,107000,189561,-0.0046511627906976605
2016-05-25,108500,109000,107000,108000,205513,0.009345794392523255
2016-05-26,108500,109500,107500,108500,101003,0.004629629629629539
2016-05-27,108500,108500,107500,108000,72873,-0.004608294930875556
2016-05-30,107000,107500,106500,107000,89664,-0.0092592592592593
2016-05-31,107000,114500,107000,112500,553518,0.051401869158878455
2016-06-01,112500,118000,112000,117000,534309,0.040000000000000036
2016-06-02,117000,119500,116500,118000,402724,0.008547008547008517
2016-06-03,118500,119000,111000,111500,596534,-0.05508474576271183
2016-06-07,118500,120500,116000,118500,684897,0.06278026905829592
2016-06-08,118500,118500,107000,109000,1225334,-0.08016877637130804
2016-06-09,111000,113500,108500,112000,599960,0.02752293577981657
2016-06-10,112500,112500,110000,110500,190784,-0.013392857142857095
2016-06-13,109000,114000,108500,113000,284273,0.02262443438914019
2016-06-14,113000,113500,110500,110500,192099,-0.02212389380530977
2016-06-15,109500,112000,109000,109000,154457,-0.013574660633484115
